#{"t_start": 1743512949.6936781, "env_id": "None"}
r,l,t
10.0,1,3.200609
10.0,1,3.200925
10.0,1,3.201218
10.0,1,3.201539
-3.0,1,3.207073
10.0,1,3.207397
-3.0,1,3.207643
-3.0,1,3.207835
10.0,1,3.212848
10.0,1,3.213495
10.0,1,3.215354
10.0,1,3.216237
5.0,1,3.220775
-3.0,1,3.221136
10.0,1,3.221793
10.0,1,3.222106
-3.0,1,3.225747
-3.0,1,3.226104
5.0,1,3.22766
10.0,1,3.228098
10.0,1,3.234476
10.0,1,3.234962
10.0,1,3.23523
5.0,1,3.235539
10.0,1,3.238934
-3.0,1,3.239699
5.0,1,3.24005
5.0,1,3.240342
10.0,1,3.24501
10.0,1,3.245403
10.0,1,3.246008
5.0,1,3.246338
10.0,1,3.251109
10.0,1,3.251487
10.0,1,3.251778
10.0,1,3.25218
10.0,1,3.256682
5.0,1,3.256951
10.0,1,3.258196
10.0,1,3.258435
5.0,1,3.261404
10.0,1,3.261827
5.0,1,3.26215
-3.0,1,3.262833
10.0,1,3.269326
10.0,1,3.270376
10.0,1,3.27125
10.0,1,3.272075
5.0,1,3.276465
5.0,1,3.276731
10.0,1,3.276978
10.0,1,3.277787
10.0,1,3.286764
5.0,1,3.287392
-3.0,1,3.287697
5.0,1,3.287896
10.0,1,3.291075
10.0,1,3.291953
5.0,1,3.293539
10.0,1,3.293868
-3.0,1,3.299271
10.0,1,3.300348
10.0,1,3.301335
-3.0,1,3.301702
5.0,1,3.306808
5.0,1,3.307079
-3.0,1,3.307269
10.0,1,3.307447
10.0,1,3.311727
-3.0,1,3.312216
10.0,1,3.312534
10.0,1,3.31287
-3.0,1,3.318896
10.0,1,3.319222
10.0,1,3.319452
10.0,1,3.320931
10.0,1,3.324184
-3.0,1,3.324447
10.0,1,3.325588
-3.0,1,3.325822
10.0,1,3.330857
5.0,1,3.332236
10.0,1,3.332536
-3.0,1,3.332977
10.0,1,3.338708
10.0,1,3.339609
10.0,1,3.339931
-3.0,1,3.340169
10.0,1,3.344311
10.0,1,3.344625
10.0,1,3.345445
10.0,1,3.345796
10.0,1,3.351852
5.0,1,3.352272
10.0,1,3.35305
-3.0,1,3.353396
10.0,1,3.357925
10.0,1,3.358234
10.0,1,3.360075
10.0,1,3.360782
10.0,1,3.367572
10.0,1,3.368139
5.0,1,3.368474
-3.0,1,3.370031
10.0,1,3.374025
-3.0,1,3.374375
5.0,1,3.374656
-3.0,1,3.374929
-3.0,1,3.382564
